timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-03-18,97.78,98.01,97.0,97.14,97.14,20188994,0.0000,1.0
2026-03-17,98.74,98.965,98.24,98.37,98.37,16411463,0.0000,1.0
2026-03-16,97.64,98.32,97.45,98.1,98.1,17384126,0.0000,1.0
2026-03-13,97.665,98.105,96.14,96.3,96.3,27628296,0.0000,1.0
2026-03-12,98.04,98.13,97.005,97.46,97.46,34724593,0.0000,1.0
2026-03-11,98.64,99.375,98.285,99.01,99.01,21349912,0.0000,1.0
2026-03-10,99.735,100.88,99.07,99.22,99.22,44802860,0.0000,1.0
2026-03-09,96.775,99.405,95.98,98.99,98.99,37484689,0.0000,1.0
2026-03-06,97.27,98.69,97.06,98.28,98.28,27734382,0.0000,1.0
2026-03-05,99.78,100.27,98.22,99.16,99.16,34508251,0.0000,1.0
2026-03-04,100.785,101.49,100.4,101.38,101.38,30766526,0.0000,1.0
2026-03-03,98.65,100.56,97.75,100.09,100.09,52567274,0.0000,1.0
2026-03-02,102.76,103.725,102.72,103.3,103.3,38047008,0.0000,1.0
2026-02-27,105.52,105.94,105.26,105.38,105.38,25575483,0.0000,1.0
2026-02-26,105.635,105.72,104.87,105.57,105.57,28482697,0.0000,1.0
2026-02-25,105.255,105.7953,105.145,105.66,105.66,14783781,0.0000,1.0
2026-02-24,104.17,104.915,104.08,104.66,104.66,17358044,0.0000,1.0
2026-02-23,104.81,105.105,104.19,104.47,104.47,14151839,0.0000,1.0
2026-02-20,103.86,105.05,103.86,104.9,104.9,25737456,0.0000,1.0
2026-02-19,103.54,104.09,103.37,104.05,104.05,15994117,0.0000,1.0
2026-02-18,104.37,104.91,104.12,104.34,104.34,16099437,0.0000,1.0
2026-02-17,103.36,104.34,103.02,104.22,104.22,19647198,0.0000,1.0
2026-02-13,103.88,104.43,103.445,104.24,104.24,22651314,0.0000,1.0
2026-02-12,105.09,105.24,103.81,104.15,104.15,29385324,0.0000,1.0
2026-02-11,104.84,105.17,104.16,104.94,104.94,20493537,0.0000,1.0
2026-02-10,104.575,104.67,104.24,104.24,104.24,16861808,0.0000,1.0
2026-02-09,103.23,104.17,103.115,103.99,103.99,20137686,0.0000,1.0
2026-02-06,101.69,102.65,101.635,102.61,102.61,17343717,0.0000,1.0
2026-02-05,100.62,101.145,100.27,100.33,100.33,22760150,0.0000,1.0
2026-02-04,102.47,102.665,101.37,101.78,101.78,25576679,0.0000,1.0
2026-02-03,101.14,101.655,100.64,101.45,101.45,21647261,0.0000,1.0
2026-02-02,100.88,101.545,100.82,101.4,101.4,21725501,0.0000,1.0
2026-01-30,101.35,101.54,100.37,100.74,100.74,27813416,0.0000,1.0
2026-01-29,102.015,102.1,100.555,101.69,101.69,29236249,0.0000,1.0
2026-01-28,101.185,101.355,100.56,101.01,101.01,21938778,0.0000,1.0
2026-01-27,101.47,102.32,101.43,102.09,102.09,19706845,0.0000,1.0
2026-01-26,100.54,100.825,100.46,100.47,100.47,14959320,0.0000,1.0
2026-01-23,99.17,100.0,99.0,99.97,99.97,16753537,0.0000,1.0
2026-01-22,99.39,99.67,99.18,99.42,99.42,16592844,0.0000,1.0
2026-01-21,98.27,99.28,97.89,99.03,99.03,26150514,0.0000,1.0
2026-01-20,98.0,98.685,97.86,98.02,98.02,25996205,0.0000,1.0
2026-01-16,99.42,99.54,99.055,99.53,99.53,18699264,0.0000,1.0
2026-01-15,99.62,99.62,99.22,99.26,99.26,24662623,0.0000,1.0
2026-01-14,99.19,99.37,98.98,99.3,99.3,19947519,0.0000,1.0
2026-01-13,99.23,99.25,98.645,98.84,98.84,17697978,0.0000,1.0
2026-01-12,99.15,99.44,99.115,99.41,99.41,15313534,0.0000,1.0
2026-01-09,98.42,98.885,98.33,98.81,98.81,16001759,0.0000,1.0
2026-01-08,97.56,97.95,97.525,97.94,97.94,14090757,0.0000,1.0
2026-01-07,98.14,98.205,97.84,97.93,97.93,15468958,0.0000,1.0
2026-01-06,98.31,98.48,98.13,98.3,98.3,14557983,0.0000,1.0
2026-01-05,97.255,98.15,97.23,98.15,98.15,25186954,0.0000,1.0
2026-01-02,97.03,97.105,96.51,97.04,97.04,42922553,0.0000,1.0
2025-12-31,96.33,96.39,95.9239,96.03,96.03,27618024,0.0000,1.0
2025-12-30,96.63,96.795,96.415,96.44,96.44,15876987,0.0000,1.0
2025-12-29,96.26,96.465,96.055,96.28,96.28,16705457,0.0000,1.0
2025-12-26,96.53,96.6,96.335,96.57,96.57,9304222,0.0000,1.0
2025-12-24,96.33,96.4614,96.185,96.41,96.41,5609693,0.0000,1.0
2025-12-23,96.28,96.44,96.165,96.29,96.29,16485891,0.0000,1.0
2025-12-22,95.47,95.7554,95.4,95.7,95.7,15861192,0.0000,1.0
2025-12-19,95.26,95.73,95.21,95.46,95.46,31094759,0.0000,1.0
2025-12-18,94.95,95.305,94.58,94.82,94.82,29971362,0.0000,1.0
2025-12-17,94.73,94.95,94.13,94.15,94.15,34926072,0.0000,1.0
2025-12-16,95.14,95.225,94.595,94.92,94.92,29380526,1.7279,1.0
2025-12-15,97.31,97.415,96.87,97.09,95.3541960042588,22751908,0.0000,1.0
2025-12-12,97.06,97.18,96.145,96.5,94.7747442003396,20514863,0.0000,1.0
2025-12-11,96.715,97.1499,96.63,97.01,95.2756262681341,19221697,0.0000,1.0
2025-12-10,95.56,96.5999,95.495,96.44,94.7158168982461,21171779,0.0000,1.0
2025-12-09,95.6,95.83,95.36,95.38,93.6747678945947,13059922,0.0000,1.0
2025-12-08,95.82,95.82,95.355,95.51,93.8024437157972,13562148,0.0000,1.0
2025-12-05,96.1,96.225,95.635,95.81,94.0970802262646,15829874,0.0000,1.0
2025-12-04,96.08,96.175,95.645,95.81,94.0970802262646,13862949,0.0000,1.0
2025-12-03,95.12,95.59,95.1,95.55,93.8417285838595,14439837,0.0000,1.0
2025-12-02,95.08,95.13,94.745,95.04,93.340846516065,14267613,0.0000,1.0
2025-12-01,94.92,95.15,94.69,94.72,93.0265675715665,21791503,0.0000,1.0
2025-11-28,94.84,95.22,94.735,95.19,93.4881647712987,8136033,0.0000,1.0
2025-11-26,94.26,95.01,94.23,94.87,93.1738858268002,13481192,0.0000,1.0
2025-11-25,93.13,93.88,92.885,93.84,92.1623004741955,19903831,0.0000,1.0
2025-11-24,92.45,92.875,92.34,92.73,91.0721453854662,18550865,0.0000,1.0
2025-11-21,92.1,92.895,91.76,92.65,90.9935756493416,27211439,0.0000,1.0
2025-11-20,93.13,93.25,91.21,91.24,89.6087840501449,26720920,0.0000,1.0
2025-11-19,92.71,93.065,92.1441,92.52,90.865899828139,15425364,0.0000,1.0
2025-11-18,92.81,93.1456,92.3,92.8,91.1408939045753,22482259,0.0000,1.0
2025-11-17,94.6,94.88,93.68,94.02,92.3390823804759,18850876,0.0000,1.0
2025-11-14,94.88,95.5269,94.78,95.26,93.5569132904078,17396354,0.0000,1.0
2025-11-13,96.35,96.46,95.425,95.53,93.8220861498284,15864780,0.0000,1.0
2025-11-12,96.31,96.69,96.31,96.56,94.8336715024331,9532343,0.0000,1.0
2025-11-11,95.67,96.1401,95.67,95.99,94.273862132545,12959431,0.0000,1.0
2025-11-10,94.86,95.35,94.59,95.29,93.5863769414545,15682792,0.0000,1.0
2025-11-07,93.57,94.32,93.34,94.3,92.6140764569121,13976941,0.0000,1.0
2025-11-06,94.27,94.36,93.705,93.95,92.2703338613669,16175998,0.0000,1.0
2025-11-05,93.68,94.32,93.67,94.16,92.476579418694,12435654,0.0000,1.0
2025-11-04,93.525,94.03,93.445,93.56,91.8873063977593,10349018,0.0000,1.0
2025-11-03,94.56,94.64,94.26,94.53,92.8399644482705,10681370,0.0000,1.0
2025-10-31,94.59,94.61,94.13,94.49,92.8006795802082,19459165,0.0000,1.0
2025-10-30,94.57,95.08,94.5,94.7,93.0069251375353,13967840,0.0000,1.0
2025-10-29,95.66,95.75,94.645,95.12,93.4194162521896,17914374,0.0000,1.0
2025-10-28,95.63,95.95,95.465,95.66,93.9497619710309,9187623,0.0000,1.0
2025-10-27,95.56,95.73,95.48,95.7,93.9890468390932,10612646,0.0000,1.0
2025-10-24,95.08,95.205,94.935,95.04,93.340846516065,8967861,0.0000,1.0
2025-10-23,94.62,94.9986,94.62,94.89,93.1935282608313,10584494,0.0000,1.0
2025-10-22,94.6,94.76,94.05,94.45,92.7613947121458,15028680,0.0000,1.0
2025-10-21,94.86,95.0,94.55,94.59,92.898891750364,16644262,0.0000,1.0
2025-10-20,94.945,95.375,94.93,95.29,93.5863769414545,12951059,0.0000,1.0
2025-10-17,94.04,94.5665,93.92,94.51,92.8203220142393,16789486,0.0000,1.0
2025-10-16,94.42,94.74,94.0,94.34,92.6533613249745,24970280,0.0000,1.0
2025-10-15,93.86,94.1307,93.315,93.85,92.1721216912111,15005514,0.0000,1.0
2025-10-14,92.45,93.6758,92.335,93.4,91.73016692551,15119002,0.0000,1.0
2025-10-13,92.65,93.08,92.53,92.98,91.3176758108557,11132883,0.0000,1.0
2025-10-10,93.69,93.7662,92.115,92.24,90.5909057517028,26137180,0.0000,1.0
2025-10-09,94.79,94.79,93.7399,93.97,92.289976295398,10567894,0.0000,1.0
2025-10-08,94.79,94.9251,94.5501,94.75,93.0560312226132,11159395,0.0000,1.0
2025-10-07,94.96,95.0107,94.4325,94.47,92.781037146177,9074987,0.0000,1.0
2025-10-06,95.25,95.525,95.145,95.3,93.5961981584701,12812709,0.0000,1.0
2025-10-03,94.97,95.265,94.845,95.08,93.3801313841273,13985532,0.0000,1.0
2025-10-02,94.535,94.6,93.87,94.29,92.6042552398966,15300541,0.0000,1.0
2025-10-01,93.88,94.27,93.8601,94.14,92.4569369846629,17167910,0.0000,1.0
2025-09-30,92.885,93.46,92.86,93.37,91.7007032744633,24294994,0.0000,1.0
2025-09-29,92.92,93.06,92.765,92.99,91.3274970278713,13807071,0.0000,1.0
2025-09-26,92.31,92.64,92.225,92.63,90.9739332153104,18137958,0.0000,1.0
2025-09-25,91.945,92.02,91.525,91.92,90.2766268072043,22434553,0.0000,1.0
2025-09-24,92.69,92.92,92.46,92.58,90.9248271302325,14910666,0.0000,1.0
2025-09-23,93.51,93.67,93.015,93.12,91.4551728490738,14688387,0.0000,1.0
2025-09-22,92.96,93.34,92.73,93.3,91.6319547553542,13692268,0.0000,1.0
2025-09-19,93.04,93.145,92.76,93.0,91.3373182448869,21889338,0.0000,1.0
2025-09-18,93.1,93.48,92.82,93.36,91.6908820574477,15791635,0.0000,1.0
2025-09-17,93.24,93.77,92.61,93.0,91.3373182448869,17013573,0.0000,1.0
2025-09-16,93.52,93.54,93.08,93.35,91.6810608404321,25226898,0.0000,1.0
2025-09-15,93.45,93.6799,93.32,93.61,91.9364124828372,18108014,0.0000,1.0
2025-09-12,92.99,93.125,92.765,92.99,91.3274970278713,10010534,0.0000,1.0
2025-09-11,92.78,93.39,92.75,93.36,91.6908820574477,11013030,0.0000,1.0
2025-09-10,92.65,92.765,92.265,92.38,90.7284027899209,11838438,0.0000,1.0
2025-09-09,92.325,92.495,92.15,92.4,90.7480452239521,10893174,0.0000,1.0
2025-09-08,92.46,92.74,92.24,92.71,91.052502951435,12010731,0.0000,1.0
2025-09-05,92.115,92.385,91.495,91.79,90.1489509860018,15510643,0.0000,1.0
2025-09-04,91.0,91.4,90.935,91.38,89.746281088363,10348031,0.0000,1.0
