timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-03-18,668.35,669.72,663.26,664.34,664.34,50860613,0.0000,1.0
2026-03-17,672.39,674.44,669.7,670.79,670.79,87128044,0.0000,1.0
2026-03-16,668.38,672.07,667.12,669.03,669.03,82023130,0.0000,1.0
2026-03-13,669.27,672.335,661.36,662.29,662.29,97200242,0.0000,1.0
2026-03-12,671.16,671.65,665.87,666.06,666.06,108882246,0.0000,1.0
2026-03-11,677.58,680.08,673.34,676.33,676.33,68441672,0.0000,1.0
2026-03-10,677.72,683.36,674.76,677.18,677.18,81505315,0.0000,1.0
2026-03-09,666.39,679.92,662.39,678.27,678.27,102667711,0.0000,1.0
2026-03-06,673.41,676.11,669.76,672.38,672.38,100686951,0.0000,1.0
2026-03-05,682.08,685.53,675.61,681.31,681.31,106606464,0.0000,1.0
2026-03-04,681.63,687.09,679.62,685.13,685.13,79182244,0.0000,1.0
2026-03-03,675.06,682.61,669.66,680.33,680.33,105003113,0.0000,1.0
2026-03-02,678.7,688.62,678.02,686.38,686.38,87477198,0.0000,1.0
2026-02-27,683.09,686.86,681.64,685.99,685.99,83308868,0.0000,1.0
2026-02-26,693.28,693.3,684.35,689.3,689.3,71670990,0.0000,1.0
2026-02-25,690.18,693.68,690.1,693.15,693.15,56369479,0.0000,1.0
2026-02-24,681.9,688.35,680.0,687.35,687.35,73798727,0.0000,1.0
2026-02-23,687.83,690.0,680.371,682.39,682.39,90558087,0.0000,1.0
2026-02-20,682.32,690.06,681.73,689.43,689.43,100033986,0.0000,1.0
2026-02-19,683.84,686.18,681.5475,684.48,684.48,58649363,0.0000,1.0
2026-02-18,684.02,689.15,682.83,686.29,686.29,73570341,0.0000,1.0
2026-02-17,680.14,684.94,675.78,682.85,682.85,81354660,0.0000,1.0
2026-02-13,681.69,686.28,677.52,681.75,681.75,96267487,0.0000,1.0
2026-02-12,694.24,695.35,680.37,681.27,681.27,118828963,0.0000,1.0
2026-02-11,696.39,697.14,689.18,691.96,691.96,76353872,0.0000,1.0
2026-02-10,694.95,696.54,691.66,692.12,692.12,65185725,0.0000,1.0
2026-02-09,689.42,695.87,688.34,693.95,693.95,73885192,0.0000,1.0
2026-02-06,681.46,692.31,680.85,690.62,690.62,89127566,0.0000,1.0
2026-02-05,680.94,683.69,675.79,677.62,677.62,113610812,0.0000,1.0
2026-02-04,690.35,691.45,681.76,686.19,686.19,105204600,0.0000,1.0
