timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-03-18,329.45,330.0,326.93,327.47,327.47,2924654,0.0000,1.0
2026-03-17,331.0,332.32,330.14,330.57,330.57,3181374,0.0000,1.0
2026-03-16,329.22,330.97,328.57,329.46,329.46,3766898,0.0000,1.0
2026-03-13,329.49,331.1,325.67,326.13,326.13,6294851,0.0000,1.0
2026-03-12,330.7,330.82,327.83,327.92,327.92,7011933,0.0000,1.0
2026-03-11,333.91,334.94,331.66,333.24,333.24,8631904,0.0000,1.0
2026-03-10,334.06,336.9,332.49,333.51,333.51,7767702,0.0000,1.0
2026-03-09,328.2,335.1,326.13,334.28,334.28,8505752,0.0000,1.0
2026-03-06,331.91,333.15,330.0,331.41,331.41,8635493,0.0000,1.0
2026-03-05,336.58,338.36,333.14,336.0,336.0,8664932,0.0000,1.0
2026-03-04,336.79,339.06,335.34,338.19,338.19,5462509,0.0000,1.0
2026-03-03,333.08,337.0,330.19,335.73,335.73,10751602,0.0000,1.0
2026-03-02,335.01,340.13,334.69,339.12,339.12,7225692,0.0000,1.0
2026-02-27,337.33,338.99,336.4898,338.77,338.77,6041819,0.0000,1.0
2026-02-26,342.0,342.13,337.9,340.49,340.49,4984478,0.0000,1.0
2026-02-25,340.6,342.125,340.315,341.83,341.83,3983349,0.0000,1.0
2026-02-24,336.35,339.6165,335.49,339.21,339.21,3642358,0.0000,1.0
2026-02-23,339.5,340.455,335.435,336.46,336.46,10771945,0.0000,1.0
2026-02-20,336.99,340.71,336.82,340.27,340.27,7051498,0.0000,1.0
2026-02-19,337.725,338.88,336.6,338.19,338.19,4401624,0.0000,1.0
2026-02-18,337.89,340.37,337.06,338.83,338.83,5718303,0.0000,1.0
2026-02-17,336.11,338.18,333.57,337.07,337.07,7112291,0.0000,1.0
2026-02-13,336.61,338.98,334.27,336.65,336.65,8039375,0.0000,1.0
2026-02-12,342.69,343.33,335.63,336.01,336.01,7012468,0.0000,1.0
2026-02-11,343.95,344.3,339.92,341.47,341.47,5056582,0.0000,1.0
2026-02-10,343.15,343.93,341.55,341.8,341.8,3879358,0.0000,1.0
2026-02-09,340.37,343.505,339.8,342.64,342.64,4562333,0.0000,1.0
2026-02-06,336.07,341.7,335.97,340.96,340.96,5093784,0.0000,1.0
2026-02-05,335.84,337.23,333.19,333.9,333.9,8838501,0.0000,1.0
2026-02-04,340.38,340.94,335.93,338.25,338.25,8973461,0.0000,1.0
2026-02-03,343.02,343.4,336.905,339.85,339.85,9049324,0.0000,1.0
2026-02-02,339.55,343.29,339.49,342.48,342.48,6024494,0.0000,1.0
2026-01-30,340.79,342.04,338.36,340.57,340.57,9905765,0.0000,1.0
2026-01-29,343.54,343.83,337.69,342.29,342.29,8936851,0.0000,1.0
2026-01-28,344.06,344.42,342.32,343.08,343.08,5854752,0.0000,1.0
2026-01-27,342.85,343.73,342.29,343.27,343.27,3681496,0.0000,1.0
2026-01-26,341.15,342.67,340.8,342.03,342.03,4957219,0.0000,1.0
2026-01-23,340.7,341.55,339.84,340.56,340.56,4905901,0.0000,1.0
2026-01-22,341.47,342.01,339.99,340.87,340.87,5505899,0.0000,1.0
2026-01-21,336.19,340.71,335.435,339.08,339.08,9761843,0.0000,1.0
2026-01-20,336.72,338.625,334.67,335.11,335.11,13014628,0.0000,1.0
2026-01-16,342.87,343.0484,341.07,341.85,341.85,6418521,0.0000,1.0
2026-01-15,343.01,343.665,341.68,342.05,342.05,8296861,0.0000,1.0
2026-01-14,341.2,341.47,338.91,341.0,341.0,12154775,0.0000,1.0
2026-01-13,343.4,343.54,341.26,342.34,342.34,8088126,0.0000,1.0
2026-01-12,340.91,343.41,340.78,343.03,343.03,5775945,0.0000,1.0
2026-01-09,340.85,342.94,340.0,342.4,342.4,6854092,0.0000,1.0
2026-01-08,339.77,340.745,339.09,340.14,340.14,6800029,0.0000,1.0
2026-01-07,341.36,342.075,339.88,340.05,340.05,6629562,0.0000,1.0
2026-01-06,338.99,341.39,338.81,341.21,341.21,6054463,0.0000,1.0
2026-01-05,338.0,339.6084,337.85,338.84,338.84,5442161,0.0000,1.0
2026-01-02,337.15,337.741,334.6,336.31,336.31,5177284,0.0000,1.0
2025-12-31,338.04,338.13,335.22,335.27,335.27,3493687,0.0000,1.0
2025-12-30,338.39,338.78,337.75,337.85,337.85,3576246,0.0000,1.0
2025-12-29,338.4,339.27,337.57,338.39,338.39,3795871,0.0000,1.0
2025-12-26,340.135,340.325,339.17,339.67,339.67,3543603,0.0000,1.0
2025-12-24,338.78,340.1,338.71,339.88,339.88,4006460,0.0000,1.0
2025-12-23,337.0,338.83,337.0,338.72,338.72,3611146,0.0000,1.0
2025-12-22,337.0,337.91,336.61,337.6,337.6,3782103,0.9508,1.0
2025-12-19,334.37,336.59,334.21,336.22,335.275745914646,4022606,0.0000,1.0
2025-12-18,333.78,335.35,332.47,333.25,332.314086984878,3347732,0.0000,1.0
2025-12-17,334.92,335.2,330.63,330.71,329.781220425413,3980310,0.0000,1.0
2025-12-16,334.59,335.51,332.42,334.36,333.420969615195,4129247,0.0000,1.0
2025-12-15,337.98,338.0,334.68,335.33,334.388245427274,3571852,0.0000,1.0
2025-12-12,339.5,339.75,334.85,335.99,335.046391856111,4258897,0.0000,1.0
2025-12-11,337.88,339.94,336.4435,339.87,338.915495104427,3818952,0.0000,1.0
2025-12-10,336.12,339.59,335.5,338.73,337.778696727345,5697052,0.0000,1.0
2025-12-09,336.28,337.55,336.07,336.23,335.285717830234,3029741,0.0000,1.0
2025-12-08,338.2,338.2,335.6012,336.57,335.624762960241,3396357,0.0000,1.0
2025-12-05,337.57,338.96,337.03,337.56,336.611982603497,3340543,0.0000,1.0
2025-12-04,337.24,337.34,335.59,337.09,336.14330257084,3587799,0.0000,1.0
2025-12-03,334.76,337.07,334.41,336.56,335.614791044653,3779878,0.0000,1.0
2025-12-02,335.65,336.36,334.18,335.06,334.119003706386,2920009,0.0000,1.0
2025-12-01,333.96,336.1,333.75,334.66,333.720127082848,4270595,0.0000,1.0
2025-11-28,335.4,336.4201,334.86,336.31,335.365493154942,2288256,0.0000,1.0
2025-11-26,333.32,335.49,332.955,334.44,333.500744939903,2745511,0.0000,1.0
2025-11-25,328.64,332.66,326.76,332.16,331.227148185738,3654291,0.0000,1.0
2025-11-24,325.51,329.19,324.94,328.64,327.717033898605,4167647,0.0000,1.0
2025-11-21,321.38,326.32,319.435,323.8,322.890626753799,4695333,0.0000,1.0
2025-11-20,330.31,331.6,319.85,320.1,319.201017986075,4176047,0.0000,1.0
2025-11-19,324.65,327.61,323.35,325.28,324.366470260888,3538279,0.0000,1.0
2025-11-18,324.74,326.55,321.9242,324.22,323.309447208514,5563257,0.0000,1.0
2025-11-17,328.705,330.77,324.8,326.43,325.513240553559,4336687,0.0000,1.0
2025-11-14,326.57,331.85,325.62,329.86,328.933607600396,3669197,0.0000,1.0
2025-11-13,334.5,334.63,329.24,329.91,328.983467178338,4213837,0.0000,1.0
2025-11-12,336.82,336.925,334.8785,335.86,334.916756953462,2730897,0.0000,1.0
2025-11-11,334.34,336.05,333.749,335.74,334.7970939664,2506359,0.0000,1.0
2025-11-10,333.32,335.45,332.04,334.92,333.979396888148,3658936,0.0000,1.0
2025-11-07,328.04,330.125,324.97,330.09,329.16296165893,4707092,0.0000,1.0
