timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-03-18,78.17,78.395,77.535,77.655,77.655,5468057,0.0000,1.0
2026-03-17,78.83,79.04,78.465,78.61,78.61,5858047,0.0000,1.0
2026-03-16,77.88,78.53,77.775,78.27,78.27,5760382,0.0000,1.0
2026-03-13,77.805,78.2,76.595,76.74,76.74,7931365,0.0000,1.0
2026-03-12,78.22,78.25,77.2,77.47,77.47,7698881,0.0000,1.0
2026-03-11,78.89,79.35,78.525,79.04,79.04,6559272,0.0000,1.0
2026-03-10,79.36,80.41,78.9,79.12,79.12,9268382,0.0000,1.0
2026-03-09,77.06,79.1599,76.39,78.95,78.95,13537219,0.0000,1.0
2026-03-06,77.5,78.51,77.21,77.98,77.98,11654840,0.0000,1.0
2026-03-05,79.185,79.65,77.89,78.72,78.72,13927254,0.0000,1.0
2026-03-04,79.81,80.51,79.49,80.34,80.34,13184903,0.0000,1.0
2026-03-03,78.71,79.9399,77.6,79.56,79.56,16653451,0.0000,1.0
2026-03-02,81.84,82.73,81.785,82.4,82.4,12896592,0.0000,1.0
2026-02-27,83.77,84.1499,83.6,83.81,83.81,10485761,0.0000,1.0
2026-02-26,84.17,84.2,83.27,83.96,83.96,10489513,0.0000,1.0
2026-02-25,84.03,84.28,83.8,84.2,84.2,9079937,0.0000,1.0
2026-02-24,83.0,83.59,82.8596,83.42,83.42,7084843,0.0000,1.0
2026-02-23,83.25,83.52,82.705,82.93,82.93,10800750,0.0000,1.0
2026-02-20,82.3,83.39,82.258,83.37,83.37,10300305,0.0000,1.0
2026-02-19,82.02,82.38,81.78,82.38,82.38,7852845,0.0000,1.0
2026-02-18,82.515,82.94,82.305,82.51,82.51,7780297,0.0000,1.0
2026-02-17,81.89,82.43,81.345,82.23,82.23,14000757,0.0000,1.0
2026-02-13,82.04,82.52,81.54,82.4,82.4,13597877,0.0000,1.0
2026-02-12,83.22,83.26,81.95,82.13,82.13,11936327,0.0000,1.0
2026-02-11,82.9,83.11,82.295,82.99,82.99,11922553,0.0000,1.0
2026-02-10,82.59,82.6,82.32,82.35,82.35,9197945,0.0000,1.0
2026-02-09,81.4,82.23,81.3773,82.15,82.15,8514928,0.0000,1.0
2026-02-06,80.31,81.11,80.25,81.05,81.05,8102308,0.0000,1.0
2026-02-05,79.53,80.005,79.16,79.29,79.29,12227581,0.0000,1.0
2026-02-04,81.015,81.055,79.89,80.25,80.25,12259779,0.0000,1.0
2026-02-03,80.27,80.51,79.655,80.31,80.31,9006862,0.0000,1.0
2026-02-02,79.46,80.155,79.45,80.11,80.11,10822287,0.0000,1.0
2026-01-30,80.4,80.5551,79.33,79.66,79.66,12506398,0.0000,1.0
2026-01-29,81.35,81.44,79.97,80.95,80.95,11947883,0.0000,1.0
2026-01-28,80.895,80.995,80.37,80.74,80.74,15084092,0.0000,1.0
2026-01-27,80.61,81.1899,80.61,81.1,81.1,10766154,0.0000,1.0
2026-01-26,79.91,80.1299,79.8326,79.86,79.86,9720129,0.0000,1.0
2026-01-23,78.94,79.59,78.77,79.53,79.53,9619511,0.0000,1.0
2026-01-22,79.0,79.27,78.87,79.08,79.08,8860888,0.0000,1.0
2026-01-21,78.175,78.8463,77.91,78.6,78.6,15033155,0.0000,1.0
