Date,BIL,BND,DTB3,EFA,RWR,SPY,VBMFX,VNQ,VTI,VXUS
2011-02-01,45.59,66.555,0.15,50.365,50.377,113.89,6.800390720367432,43.842,59.47,42.36
2011-02-02,45.59,66.48,0.16,50.323,50.291,113.67,6.793951988220215,43.842,59.402,42.145
2011-02-03,45.59,66.256,0.14,50.332,50.465,113.92,6.774610996246338,43.964,59.531,42.221
2011-02-04,45.6,66.029,0.15,50.317,49.98,114.26,6.748825550079346,43.644,59.699,42.195
2011-02-07,45.59,66.037,0.16,50.473,50.567,114.97,6.748825550079346,44.072,60.098,42.311
2011-02-08,45.59,65.832,0.15,50.805,50.752,115.49,6.723042964935303,44.262,60.398,42.377
2011-02-09,45.6,65.992,0.14,50.656,50.775,115.25,6.742379188537598,44.295,60.248,42.12
2011-02-10,45.59,65.782,0.12,50.323,50.976,115.28,6.723042964935303,44.478,60.311,41.728
2011-02-11,45.59,66.006,0.12,50.349,51.349,115.96,6.742379188537598,44.769,60.707,41.888
2011-02-14,45.59,66.077,0.13,50.447,51.333,116.24,6.748825550079346,44.776,60.865,41.986
2011-02-15,45.6,66.173,0.13,50.299,51.125,115.87,6.75527286529541,44.61,60.672,41.853
2011-02-16,45.6,66.197,0.12,50.903,51.333,116.6,6.75527286529541,44.709,61.069,42.377
2011-02-18,45.59,66.297,0.1,51.25,51.572,117.21,6.7681660652160645,44.928,61.404,42.627
2011-02-22,45.59,66.545,0.12,49.786,51.078,114.85,6.793951988220215,44.538,60.089,41.564
2011-02-23,45.6,66.536,0.12,49.853,50.649,114.14,6.793951988220215,44.164,59.586,41.521
2011-02-24,45.6,66.605,0.13,49.894,50.299,114.05,6.800390720367432,43.827,59.595,41.58
2011-02-25,45.6,66.79,0.13,50.489,51.301,115.28,6.806840419769287,44.684,60.343,42.054
2011-02-28,45.59,66.88,0.15,50.947,52.57,116.0,6.830746173858643,45.796,60.674,42.436
2011-03-01,45.59,66.849,0.14,50.233,51.014,114.06,6.837209701538086,44.43,59.646,41.953
2011-03-02,45.6,66.715,0.13,50.498,50.446,114.31,6.817824840545654,44.031,59.77,42.26
2011-03-03,45.59,66.446,0.13,51.143,51.27,116.27,6.791977405548096,44.661,60.86,42.752
2011-03-04,45.6,66.673,0.12,50.679,50.713,115.4,6.817824840545654,44.231,60.452,42.47
2011-03-07,45.59,66.663,0.11,50.192,50.307,114.49,6.811371326446533,43.912,59.904,42.186
2011-03-08,45.59,66.604,0.11,50.349,51.055,115.5,6.798439025878906,44.53,60.442,42.334
2011-03-09,45.59,66.724,0.1,50.365,51.022,115.33,6.817824840545654,44.485,60.353,42.285
2011-03-10,45.59,67.029,0.08,49.116,50.245,113.21,6.850136280059815,43.805,59.195,41.238
2011-03-11,45.6,67.035,0.08,49.116,50.751,113.97,6.8436713218688965,44.245,59.593,41.387
2011-03-14,45.6,67.105,0.09,48.239,50.258,113.3,6.850136280059815,43.804,59.231,40.788
2011-03-15,45.61,67.148,0.1,47.229,50.012,111.99,6.856602668762207,43.575,58.606,40.074
2011-03-16,45.61,67.46,0.1,45.764,49.217,109.91,6.882450580596924,42.933,57.591,38.96
2011-03-17,45.61,67.369,0.08,47.287,49.674,111.38,6.869523525238037,43.26,58.255,39.957
2011-03-18,45.61,67.358,0.07,47.94,50.117,111.77,6.869523525238037,43.697,58.527,40.574
2011-03-21,45.61,67.166,0.1,49.123,50.703,113.51,6.850136280059815,44.168,59.442,41.446
2011-03-22,45.59,67.139,0.1,48.982,50.325,113.12,6.8436713218688965,43.89,59.246,41.345
2011-03-23,45.6,67.114,0.09,49.04,49.75,113.45,6.8436713218688965,43.407,59.392,41.529
2011-03-24,45.59,67.003,0.09,49.695,50.006,114.53,6.830746173858643,43.591,59.956,41.944
2011-03-25,45.59,66.917,0.09,49.148,50.407,114.88,6.817824840545654,43.931,60.168,41.679
2011-03-28,45.6,66.858,0.11,49.123,50.303,114.59,6.817824840545654,43.876,60.028,41.489
2011-03-29,45.59,66.74,0.1,49.381,50.535,115.37,6.804896354675293,44.054,60.472,41.821
2011-03-30,45.6,66.858,0.1,49.968,51.262,116.16,6.817824840545654,44.691,60.923,42.377
2011-03-31,45.59,66.779,0.09,49.723,51.729,116.0,6.830794334411621,45.055,60.921,42.33
2011-04-01,45.59,66.865,0.07,50.2,51.759,116.49,6.830794334411621,45.123,61.214,42.701
2011-04-04,45.59,66.946,0.06,50.266,51.735,116.59,6.84375,45.094,61.27,42.926
2011-04-05,45.59,66.797,0.07,50.142,51.792,116.57,6.824300765991211,45.14,61.303,42.76
2011-04-06,45.59,66.697,0.06,50.555,51.767,116.96,6.811347007751465,45.162,61.465,43.077
2011-04-07,45.6,66.679,0.04,50.308,51.184,116.65,6.811347007751465,44.661,61.286,42.858
2011-04-08,45.59,66.638,0.04,50.722,50.805,116.25,6.804863452911377,44.339,61.029,43.182
2011-04-11,45.59,66.647,0.05,50.622,50.871,115.89,6.804863452911377,44.367,60.808,42.917
2011-04-12,45.6,66.882,0.05,50.151,50.791,115.03,6.830794334411621,44.293,60.294,42.51
2011-04-13,45.6,67.003,0.06,50.299,50.735,115.02,6.837268352508545,44.221,60.327,42.683
2011-04-14,45.59,66.97,0.07,50.523,51.502,115.11,6.830794334411621,44.863,60.363,42.787
2011-04-15,45.6,67.182,0.07,50.447,52.176,115.53,6.85670804977417,45.44,60.658,42.76
2011-04-18,45.59,67.257,0.07,49.414,51.631,114.24,6.86967134475708,45.031,59.929,41.994
2011-04-19,45.59,67.367,0.06,49.778,52.135,114.89,6.876156330108643,45.387,60.277,42.377
2011-04-20,45.59,67.276,0.06,51.045,52.752,116.44,6.863187789916992,45.917,61.153,43.376
2011-04-21,45.59,67.327,0.06,51.375,53.081,117.07,6.863187789916992,46.225,61.455,43.557
